Referência (na ocasião do registro ou da renovação de adequação a RDC 134/2003);Princípio ativo;Nome comercial do medicamento similar;Detentor do registro do medicamento similar;Forma Farmacêutica;Concentração;Data da inclusão
Abilify;aripiprazol;Kavium;ZYDUS NIKKHO FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;15 MG;30/06/2016
Abilify;aripiprazol;Sensaz;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;COMPRIMIDO SIMPLES;10 MG;30/06/2017
Abilify;aripiprazol;Sensaz;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;COMPRIMIDO SIMPLES;15 MG;30/06/2017
Abilify;aripiprazol;Toarip;TORRENT DO BRASIL LTDA;COMPRIMIDO SIMPLES;10 MG;31/08/2018
Abilify;aripiprazol;Toarip;TORRENT DO BRASIL LTDA;COMPRIMIDO SIMPLES;15 MG;31/08/2018
Abilify;aripiprazol;Toarip;TORRENT DO BRASIL LTDA;COMPRIMIDO SIMPLES;20 MG;31/08/2018
Abilify;aripiprazol;Toarip;TORRENT DO BRASIL LTDA;COMPRIMIDO SIMPLES;30 MG;31/08/2018
Aciclovir Merck;aciclovir;Antivirax;EMS S/A;COMPRIMIDO SIMPLES;400 MG;11/05/2020
Aclasta;ácido zoledrônico;Densis;MOMENTA FARMACÊUTICA LTDA.;SOLUÇÃO INJETÁVEL;0,05 MG/ML;31/12/2017
Aclasta;ácido zoledrônico;Teoro;LIBBS FARMACÊUTICA LTDA;SOLUÇÃO PARA INFUSÃO;0,05 MG/ML;31/03/2019
Activelle;estradiol + acetato de noretisterona;Natifa Pro;LIBBS FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;1 MG + 0,5 MG;15/12/2014
Actonel;risedronato sódico;D’orto;EUROFARMA LABORATÓRIOS S.A.;COMPRIMIDO REVESTIDO;150 MG;09/12/2019
Actonel;risedronato sódico;Indosso;MOMENTA FARMACÊUTICA LTDA.;COMPRIMIDO REVESTIDO;150 MG;11/05/2020
Actonel;risedronato sódico;Osteoblock;NOVA QUIMICA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;35  MG;15/12/2014
Actonel;risedronato sódico;Osteotrat;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A.;COMPRIMIDO REVESTIDO;35 MG;15/12/2014
Actonel;risedronato sódico;Risedronel;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;35 MG;15/12/2014
Actonel;risedronato sódico;Risedronel;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;150 MG;31/08/2018
Actonel;risedronato sódico;Risedross;EMS S/A;COMPRIMIDO REVESTIDO;35 MG;28/02/2018
Actonel;risedronato sódico;Risedross;EMS S/A;COMPRIMIDO REVESTIDO;150 MG;28/02/2018
Actonel;risedronato sódico;Risonato;EMS S/A;COMPRIMIDO REVESTIDO;35 MG;15/12/2014
Actonel;risedronato sódico;Risonato;EMS S/A;COMPRIMIDO REVESTIDO;150 MG;31/10/2017
Actos;cloridrato de pioglitazona;Aglitil;EMS SIGMA PHARMA LTDA;COMPRIMIDO SIMPLES;15 MG;15/12/2014
Actos;cloridrato de pioglitazona;Aglitil;EMS SIGMA PHARMA LTDA;COMPRIMIDO SIMPLES;30 MG;15/12/2014
Actos;cloridrato de pioglitazona;Aglitil;EMS SIGMA PHARMA LTDA;COMPRIMIDO SIMPLES;45 MG;15/12/2014
Actos;cloridrato de pioglitazona;Gliactis;EMS S/A;COMPRIMIDO SIMPLES;15 MG;15/12/2014
Actos;cloridrato de pioglitazona;Gliactis;EMS S/A;COMPRIMIDO SIMPLES;30 MG;15/12/2014
Actos;cloridrato de pioglitazona;Gliactis;EMS S/A;COMPRIMIDO SIMPLES;45 MG;15/12/2014
Actos;cloridrato de pioglitazona;Glicopio;ASTRAZENECA DO BRASIL LTDA;COMPRIMIDO SIMPLES;45 MG;15/12/2014
Actos;cloridrato de pioglitazona;Glicopio;ASTRAZENECA DO BRASIL LTDA;COMPRIMIDO SIMPLES;30 MG;15/12/2014
Actos;cloridrato de pioglitazona;Glicopio;ASTRAZENECA DO BRASIL LTDA;COMPRIMIDO SIMPLES;15 MG;15/12/2014
Actos;cloridrato de pioglitazona;Glitasolin;NOVA QUIMICA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;15 MG;15/12/2014
Actos;cloridrato de pioglitazona;Glitasolin;NOVA QUIMICA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;30 MG;15/12/2014
Actos;cloridrato de pioglitazona;Glitasolin;NOVA QUIMICA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;45 MG;15/12/2014
Actos;cloridrato de pioglitazona;Pioglit;TORRENT DO BRASIL LTDA;COMPRIMIDO SIMPLES;30 MG;15/12/2014
Actos;cloridrato de pioglitazona;Pioglit;TORRENT DO BRASIL LTDA;COMPRIMIDO SIMPLES;45 MG;15/12/2014
Actos;cloridrato de pioglitazona;Pioglit;TORRENT DO BRASIL LTDA;COMPRIMIDO SIMPLES;15 MG;15/12/2014
Actos;cloridrato de pioglitazona;Pioglizon;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;15 MG;15/12/2014
Actos;cloridrato de pioglitazona;Pioglizon;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;30 MG;15/12/2014
Actos;cloridrato de pioglitazona;Pioglizon;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;45 MG;15/12/2014
Actos;cloridrato de pioglitazona;Piotaz;GERMED FARMACEUTICA LTDA;COMPRIMIDO SIMPLES;15 MG;15/12/2014
Actos;cloridrato de pioglitazona;Piotaz;GERMED FARMACEUTICA LTDA;COMPRIMIDO SIMPLES;30 MG;15/12/2014
Actos;cloridrato de pioglitazona;Piotaz;GERMED FARMACEUTICA LTDA;COMPRIMIDO SIMPLES;45 MG;15/12/2014
Actos;cloridrato de pioglitazona;Stanglit;LIBBS FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;30 MG;15/12/2014
Actos;cloridrato de pioglitazona;Stanglit;LIBBS FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;45 MG;15/12/2014
Actos;cloridrato de pioglitazona;Stanglit;LIBBS FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;15 MG;15/12/2014
Acular;cetorolaco trometamol;Cetrolac;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;SOLUÇÃO OFTÁLMICA;5 MG/ML;26/01/2015
Acular;cetorolaco trometamol;Cetrolac;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;SOLUÇÃO OFTÁLMICA;4 MG/ML;26/01/2015
Acular;cetorolaco trometamol;Legrace;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;SOLUÇÃO OFTÁLMICA;5 MG/ML;28/02/2017
Acular;cetorolaco trometamol;Neocular;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;SOLUÇÃO OFTÁLMICA;5 MG/ML;15/12/2014
Acular;cetorolaco trometamol;Optilar;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;SOLUÇÃO OFTÁLMICA;5 MG/ML;15/12/2014
Acular;cetorolaco trometamol;Optilar;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;COLODIO;4 MG/ML;15/12/2014
Acular;cetorolaco trometamol;Softalm;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;SOLUÇÃO OFTÁLMICA;5 MG/ML;15/12/2014
Acular;cetorolaco trometamol;Terolac;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;SOLUÇÃO OFTÁLMICA;5 MG/ML;27/07/2015
Acular;cetorolaco trometamol;Toragesic Ofta;EMS SIGMA PHARMA LTDA;SOLUÇÃO OFTÁLMICA;5 MG/ML;31/01/2019
Acular LS;trometamol cetorolaco;Clilon;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;SOLUÇÃO OFTÁLMICA;4 MG/ML;30/11/2018
Acular LS;trometamol cetorolaco;Clilon;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;SOLUÇÃO OFTÁLMICA;5 MG/ML;30/11/2018
Adriblastina RD;cloridrato de doxorrubicina;Evorubicin;EVOLABIS PRODUTOS FARMACÊUTICOS LTDA;PÓ LIÓFILO INJETÁVEL;10 MG;15/12/2014
Adriblastina RD;cloridrato de doxorrubicina;Evorubicin;EVOLABIS PRODUTOS FARMACÊUTICOS LTDA;PÓ LIÓFILO INJETÁVEL;50 MG;15/12/2014
Adriblastina RD;cloridrato de doxorrubicina;Oncodox;MEIZLER UCB BIOPHARMA S.A.;PÓ LIÓFILO INJETÁVEL;10 MG;15/12/2014
Adriblastina RD;cloridrato de doxorrubicina;Oncodox;MEIZLER UCB BIOPHARMA S.A.;PÓ LIÓFILO INJETÁVEL;50 MG;15/12/2014
Adriblastina RD;cloridrato de doxorrubicina;Rubidox;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;PÓ LIÓFILO + SOLUÇÃO DILUENTE;10 MG;15/12/2014
Adriblastina RD;cloridrato de doxorrubicina;Rubidox;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;PÓ LIÓFILO;50 MG;15/12/2014
Aerolin;sulfato de salbutamol;Aero-Ifal;IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA;XAROPE;0,48 MG/ML;15/12/2014
Aerolin;sulfato de salbutamol;Aerotrat;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;SOLUÇÃO ORAL;0,4 MG/ML;31/03/2016
Aerolin;sulfato de salbutamol;Broncofedrin;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;XAROPE;0,4 MG/ML;15/12/2014
Aerolin;sulfato de salbutamol;Butalab;NATULAB LABORATÓRIO S.A;XAROPE;0,4 MG/ML;15/12/2014
Aerolin;salbutamol;Iquego-Salbutamol;INDÚSTRIA QUÍMICA DO ESTADO DE GOIÁS S/A - IQUEGO;XAROPE;0,4 MG/ML;15/12/2014
Aerolin;sulfato de salbutamol;Pulmoflux;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;XAROPE;0,4 MG/ML;15/12/2014
Aerolin;sulfato de salbutamol;Regrair;GLAXOSMITHKLINE BRASIL LTDA;XAROPE;0,4 MG/ML;11/05/2020
Aerolin;sulfato de salbutamol;Regrair;GLAXOSMITHKLINE BRASIL LTDA;COMPRIMIDO SIMPLES;2 MG;11/05/2020
Aerolin;sulfato de salbutamol;Regrair;GLAXOSMITHKLINE BRASIL LTDA;COMPRIMIDO SIMPLES;4 MG;11/05/2020
Aerolin;sulfato de salbutamol;Regrair;GLAXOSMITHKLINE BRASIL LTDA;SOLUÇÃO INJETÁVEL;5 MG/ML;11/05/2020
Aerolin;sulfato de salbutamol;Regrair;GLAXOSMITHKLINE BRASIL LTDA;SOLUÇÃO PARA NEBULIZAÇÃO;1 MG/ML;11/05/2020
Aerolin;sulfato de salbutamol;Regrair;GLAXOSMITHKLINE BRASIL LTDA;SOLUÇÃO PARA NEBULIZAÇÃO;5 MG/ML;11/05/2020
Aerolin;sulfato de salbutamol;Regrair;GLAXOSMITHKLINE BRASIL LTDA;SUSPENSÃO AEROSSOL;100 MCG/DOSE;11/05/2020
Aerolin;sulfato de salbutamol;Salbulim;Quimifar Ltda.;XAROPE;0,4 MG/ML;15/12/2014
Aerolin;sulfato de salbutamol;Salbutam;BUNKER INDUSTRIA FARMACEUTICA LTDA;XAROPE;0,4 MG/ML;15/12/2014
Aerolin;sulfato de salbutamol;Furp-Salbutamol;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;XAROPE;0,4 MG/ML;15/12/2014
Afinitor;everolimo;Exher;NATCOFARMA DO BRASIL LTDA;COMPRIMIDO;5 MG;11/05/2020
Afinitor;everolimo;Exher;NATCOFARMA DO BRASIL LTDA;COMPRIMIDO;10 MG;11/05/2020
Afrin;cloridrato de oximetazolina;Nasivin;MERCK S/A;SOLUÇÃO NASAL;0,5 MG/ML;15/12/2014
Afrin;cloridrato de oximetazolina;Oxifrin;LABORATÓRIO TEUTO BRASILEIRO S/A;SOLUÇÃO NASAL;0,5 MG/ML;15/12/2014
Agrylin;cloridrato de anagrelida;Monboc;EMS S/A;CÁPSULA DURA;0,5 MG;09/12/2019
Akineton;cloridrato de biperideno;Propark;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;COMPRIMIDO SIMPLES;2 MG;09/12/2019
Aldactone;espironolactona;Aldneo;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;COMPRIMIDO SIMPLES;50 MG;15/12/2014
Aldactone;espironolactona;Aldneo;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;COMPRIMIDO SIMPLES;25 MG;15/12/2014
Aldactone;espironolactona;Aldneo;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;COMPRIMIDO SIMPLES;100 MG;15/12/2014
Aldactone;espironolactona;Diacqua;EUROFARMA LABORATÓRIOS S.A.;COMPRIMIDO SIMPLES;25 MG;15/12/2014
Aldactone;espironolactona;Diacqua;EUROFARMA LABORATÓRIOS S.A.;COMPRIMIDO SIMPLES;50 MG;15/12/2014
Aldactone;espironolactona;Diacqua;EUROFARMA LABORATÓRIOS S.A.;COMPRIMIDO SIMPLES;100 MG;08/05/2015
Aldara;imiquimode;Abelia;SANOFI-AVENTIS FARMACÊUTICA LTDA;CREME DERMATOLÓGIC O;50 MG/G;15/12/2014
Aldara;imiquimode;Ald Mune;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;CREME DERMATOLÓGIC O;50 MG/G;15/12/2014
Aldara;imiquimode;Imik;EMS SIGMA PHARMA LTDA;CREME DERMATOLÓGIC O;50 MG/G;15/12/2014
Aldara;imiquimod;Imoxy;MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;CREME DERMATOLÓGIC O;50 MG/G;15/12/2014
Aldara;imiquimod;Ixium;FARMOQUÍMICA S/A;CREME DERMATOLÓGIC O;50 MG/G;15/12/2014
Aldara;imiquimode;Modik;GERMED FARMACEUTICA LTDA;CREME DERMATOLÓGIC O;50 MG/G;15/12/2014
Aldomet;metildopa;Etildopanan;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;COMPRIMIDO REVESTIDO;250 MG;28/02/2017
Aldomet;metildopa;Etildopanan;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;COMPRIMIDO REVESTIDO;500 MG;28/02/2017
Aldomet;metildopa;Furp - Metildopa;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;COMPRIMIDO REVESTIDO;250 MG;31/01/2019
Aldomet;metildopa;Tensioval;SANVAL COMÉRCIO E INDÚSTRIA LTDA;COMPRIMIDO REVESTIDO;250 MG;30/09/2019
Aldomet;metildopa;Tensioval;SANVAL COMÉRCIO E INDÚSTRIA LTDA;COMPRIMIDO REVESTIDO;500 MG;30/09/2019
Aldomet;metildopa;Venopressin;TKS FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;250 MG;15/12/2014
Aldomet;metildopa;Venopressin;TKS FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;500 MG;15/12/2014
Alenia;fumarato de formoterol + budesonida;Duetto;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A.;CÁPSULA GELATINOSA DURA COM PÓ PARA INALAÇÃO;6 MCG + 100 MCG;31/10/2016
Alenia;fumarato de formoterol + budesonida;Duetto;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A.;CÁPSULA GELATINOSA DURA COM PÓ PARA INALAÇÃO;6 MCG + 200 MCG;31/10/2016
Alenia;fumarato de formoterol + budesonida;Duetto;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A.;CÁPSULA GELATINOSA DURA COM PÓ PARA INALAÇÃO;12 MCG + 400 MCG;31/10/2016
Alimta;pemetrexede dissódico;Atred;LIBBS FARMACÊUTICA LTDA;PÓ LIÓFILO PARA SOLUÇÃO INJETÁVEL;100 MG;15/12/2014
Alimta;pemetrexede dissódico;Atred;LIBBS FARMACÊUTICA LTDA;PÓ LIÓFILO PARA SOLUÇÃO INJETÁVEL;500 MG;15/12/2014
Alimta;pemetrexede dissódico;Eroxym;EUROFARMA LABORATÓRIOS S.A.;PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL;100 MG;31/08/2018
Alimta;pemetrexede dissódico;Eroxym;EUROFARMA LABORATÓRIOS S.A.;PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL;500 MG;31/08/2018
Alimta;pemetrexede dissódico;Fonhep;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;PÓ LIÓFILO PARA SOLUÇÃO INJETÁVEL;100 MG;11/05/2020
Alimta;pemetrexede dissódico;Fonhep;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;PÓ LIÓFILO PARA SOLUÇÃO INJETÁVEL;500 MG;11/05/2020
Alimta;pemetrexede dissódico;Mesotem;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;PÓ LIÓFILO PARA SOLUÇÃO INJETÁVEL;100 MG;31/01/2019
Alimta;pemetrexede dissódico;Mesotem;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;PÓ LIÓFILO PARA SOLUÇÃO INJETÁVEL;500 MG;31/01/2019
Alimta;pemetrexede dissódico;Pemeglenn;GLENMARK FARMACÊUTICA LTDA;PÓ LIÓFILO INJETÁVEL;100 MG;15/12/2014
Alimta;pemetrexede dissódico;Pemeglenn;GLENMARK FARMACÊUTICA LTDA;PÓ LIÓFILO INJETÁVEL;500 MG;15/12/2014
Alimta;pemetrexede dissódico;Pemeker;ZODIAC PRODUTOS FARMACÊUTICOS S/A;PÓ LIÓFILO PARA SOLUÇÃO INJETÁVEL;500 MG;15/12/2014
Alimta;pemetrexede dissódico;Pemtryx;ACCORD FARMACÊUTICA LTDA;PÓ LIÓFILO INJETÁVEL;100 MG;15/12/2014
Alimta;pemetrexede dissódico;Pemtryx;ACCORD FARMACÊUTICA LTDA;PÓ LIÓFILO INJETÁVEL;500 MG;15/12/2014
Alimta;pemetrexede dissódico;Plexeden;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;PÓ LIÓFILO INJETÁVEL;100 MG;31/03/2019
Alimta;pemetrexede dissódico;Plexeden;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;PÓ LIÓFILO INJETÁVEL;500 MG;31/03/2019
Alimta;pemetrexede dissódico;Sukhi;SUN FARMACÊUTICA DO BRASIL LTDA;PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL;100 MG;30/09/2019
Alimta;pemetrexede dissódico;Sukhi;SUN FARMACÊUTICA DO BRASIL LTDA;PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL;500 MG;30/09/2019
Alimta;pemetrexede dissódico;Tactrol;TEVA FARMACÊUTICA LTDA.;PÓ LIÓFILO INJETÁVEL;500 MG;15/12/2014
Alimta;pemetrexede dissódico;Tactrol;TEVA FARMACÊUTICA LTDA.;PÓ LIÓFILO INJETÁVEL;100 MG;15/12/2014
Allegra;cloridrato de fexofenadina;Allexofedrin;EMS S/A;COMPRIMIDO REVESTIDO;120 MG;17/06/2019
Allegra;cloridrato de fexofenadina;Allexofedrin;EMS S/A;COMPRIMIDO REVESTIDO;180 MG;17/06/2019
Allegra;cloridrato de fexofenadina;Fenaxxe;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;COMPRIMIDO REVESTIDO;60 MG;30/11/2018
Allegra;cloridrato de fexofenadina;Fenaxxe;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;COMPRIMIDO REVESTIDO;120 MG;30/11/2018
Allegra;cloridrato de fexofenadina;Fenaxxe;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;COMPRIMIDO REVESTIDO;180 MG;30/11/2018
Allegra;cloridrato de fexofenadina;Fexoliv;LABORATÓRIO TEUTO BRASILEIRO S/A;COMPRIMIDO REVESTIDO;120 MG;08/05/2015
Allegra;cloridrato de fexofenadina;Fexoliv;LABORATÓRIO TEUTO BRASILEIRO S/A;COMPRIMIDO REVESTIDO;180 MG;08/05/2015
Allegra;cloridrato de fexofenadina;Fexx;1FARMA INDUSTRIA FARMACEUTICA LTDA;COMPRIMIDO REVESTIDO;60 MG;31/03/2019
Allegra;cloridrato de fexofenadina;Fexx;1FARMA INDUSTRIA FARMACEUTICA LTDA;COMPRIMIDO REVESTIDO;120 MG;31/03/2019
Allegra;cloridrato de fexofenadina;Fexx;1FARMA INDUSTRIA FARMACEUTICA LTDA;COMPRIMIDO REVESTIDO;180 MG;31/03/2019
Allegra;cloridrato de fexofenadina;Rafex;MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;30 MG;15/12/2014
Allegra;cloridrato de fexofenadina;Rafex;MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;60 MG;15/12/2014
Allegra;cloridrato de fexofenadina;Rafex;MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;120 MG;15/12/2014
Allegra;cloridrato de fexofenadina;Rafex;MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;180 MG;15/12/2014
Allegra D;cloridrato de fexofenadina + cloridrato de pseudoefedrina;Allexofedrin D;EMS S/A;COMPRIMIDO REVESTIDO;60 MG + 120 MG;09/12/2019
Allegra D;cloridrato de fexofenadina + cloridrato de pseudoefedrina;Rafex D;MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;60 MG + 120 MG;15/12/2014
Allurene;dienogeste;Allunny;MYRALIS INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;2 MG;31/01/2019
Allurene;dienogeste;Alurax;MOMENTA FARMACÊUTICA LTDA.;COMPRIMIDO REVESTIDO;2 MG;01/06/2015
Allurene;dienogeste;Diost;ATIVUS FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;2 MG;31/12/2016
Allurene;dienogeste;Intime;BIOLAB SANUS FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;2 MG;31/08/2018
Allurene;dienogeste;Kalist;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A.;COMPRIMIDO SIMPLES;2 MG;31/08/2016
Allurene;dienogeste;Lurend;MYRALIS INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO;2 MG;30/09/2019
Allurene;dienogeste;Meluren;INDÚSTRIA FARMACÊUTICA MELCON DO BRASIL S.A.;COMPRIMIDO SIMPLES;2 MG;31/08/2017
Allurene;dienogeste;Pietra ED;EUROFARMA LABORATÓRIOS S.A.;COMPRIMIDO REVESTIDO;2 MG;30/03/2015
Allurene;dienogeste;Visabelle;SCHERING-PLOUGH INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;2 MG;01/06/2015
Aloxidil;minoxidil;Allovita;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;SOLUÇÃO CAPILAR;50 MG/ML;30/09/2019
Aloxidil;minoxidil;Capy;GERMED FARMACEUTICA LTDA;SOLUÇÃO CAPILAR;50 MG/ML;30/09/2019
Aloxidil;minoxidil;Pant;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A.;SOLUÇÃO CAPILAR;50 MG/ML;30/06/2016
Alphagan;dextrotartarato de brimonidina;Accera;MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;SOLUÇÃO OFTÁLMICA;2 MG/ML;15/12/2014
Alphagan;dextrotartarato de brimonidina;Alphabrin;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;SOLUÇÃO OFTÁLMICA;1 MG/ML;31/12/2017
Alphagan;dextrotartarato de brimonidina;Alphabrin;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;SOLUÇÃO OFTÁLMICA;1,5 MG/ML;15/12/2014
Alphagan;dextrotartarato de brimonidina;Alphabrin;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;SOLUÇÃO OFTÁLMICA;2 MG/ML;15/12/2014
Alphagan;tartarato de brimonidina;Bimony;LABORATÓRIO TEUTO BRASILEIRO S/A;SOLUÇÃO OFTÁLMICA;2 MG/ML;09/12/2019
Alphagan;tartarato de brimonidina;Bromigan;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;SOLUÇÃO OFTÁLMICA;2 MG/ML;15/12/2014
Alphagan;dextrotartarato de brimonidina;Glaub;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;SOLUÇÃO OFTÁLMICA;1 MG/ML;05/01/2015
Alphagan;dextrotartarato de brimonidina;Glaub;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;SOLUÇÃO OFTÁLMICA;2 MG/ML;15/12/2014
